id,name
1,Costa Coffee
2,Greggs
3,Subway
4,McDonald's
5,KFC
6,Greene King
7,Wetherspoon
8,Caffé Nero
9,Burger King
10,Pizza Hut
11,Pret A Manger
12,PizzaExpress
13,Hungry Horse
14,Lounges
15,Sushimania
16,Five Guys
17,Chef & Brewer Collection
18,Gail's
19,Zizzi
20,Taco Bell
21,Creams
22,Coffee#1
23,Prezzo
24,Morley's
25,Favorite
26,Chaiiwala
27,Cote
28,Panku
29,Itsu
30,Kaspa's Desserts
31,Fridays
32,Poundbakery
33,Kokoro
34,Bella Italia
35,Chopstix
36,JOE & THE JUICE
37,Tortilla
38,Franco Manca
39,Tops Pizza
40,Ask Italian
41,Farmhouse Inns
42,Wimpy
43,Muffin Break
44,Black Sheep Coffee
45,Turtle Bay
46,Giggling Squid
47,Heavenly Desserts
48,Sam's Chicken
49,Tim Hortons
50,Wildwood
