id,name
1,London
2,Birmingham
3,Glasgow
4,Liverpool
5,Bristol
6,Manchester
7,Sheffield
8,Leeds
9,Edinburgh
10,Leicester
11,Coventry
12,Bradford
13,Cardiff
14,Belfast
15,Nottingham
16,Derby
17,Southampton
18,Portsmouth
19,Wolverhampton
20,Plymouth
21,Reading
22,Swansea
23,Aberdeen
24,Bournemouth
25,Middlesbrough
26,Norwich
27,Brighton and Hove
28,Northampton
29,York
30,Blackpool
31,Cambridge
32,Dundee
33,Ipswich
34,Wolverhampton
35,Luton
36,Bolton
37,Swindon
38,Preston
39,Milton Keynes
40,Rotherham
41,Peterborough
42,Newport
43,Sunderland
44,Walsall
45,Bury
46,Crawley
47,Stockport
48,Dudley
49,Teesside
50,Brighton
